,country,country_finder,doi,full_affiliations,is_oa,mesh_terms,pmid,short_affiliations
0,"['Canada', 'Canada']","['BF', 'BF']",10.1016/j.bbr.2015.05.061,"['Department of Cell & Systems Biology, University of Toronto, Toronto, Ontario, Canada.', 'Department of Psychology, University of Toronto Mississauga, Mississauga, Ontario, Canada.', 'Department of Cell & Systems Biology, University of Toronto, Toronto, Ontario, Canada; Department of Psychology, University of Toronto Mississauga, Mississauga, Ontario, Canada. Electronic address: robert_gerlai@yahoo.com.']",FALSE,"['Aging', 'Animals', 'Anxiety', 'Behavior, Animal', 'Brain', 'Dopamine', 'Female', 'Locomotion', 'Male', 'Motor Activity', 'Serotonin', 'Social Isolation', 'Zebrafish']",26119237,"[1] ""university of toronto, toronto, ontario, canada""                
[2] ""university of toronto mississauga, mississauga, ontario, canada""
"
1,['China'],['BF'],10.1016/j.etap.2015.06.006,"['College of Resource and Environmental Science, Wuhan University, Wuhan, PR China.', 'College of Resource and Environmental Science, Wuhan University, Wuhan, PR China.', 'College of Resource and Environmental Science, Wuhan University, Wuhan, PR China.', 'College of Resource and Environmental Science, Wuhan University, Wuhan, PR China. Electronic address: zhangwh@whu.edu.cn.']",FALSE,"['Chlorella', 'Chlortetracycline', 'Copper', 'Fresh Water', 'Microcystis', 'Species Specificity']",26119232,"[1] ""college of resource and environmental science, wuhan university, wuhan, pr china""
"
2,['Germany'],['BF'],10.1002/jcc.23974,"['Department of Pharmaceutical Chemistry, Philipps-University, Marbacher Weg 6, Marburg, 35032, Germany.', 'Department of Pharmaceutical Chemistry, Philipps-University, Marbacher Weg 6, Marburg, 35032, Germany.']",FALSE,"['Algorithms', 'Aspartic Acid Endopeptidases', 'Color', 'Computer Graphics', 'Computer-Aided Design', 'Databases, Pharmaceutical', 'Drug Design', 'Ligands', 'Molecular Structure']",26119231,"[1] ""philipps-university, marbacher weg 6, marburg, 35032, germany""
"
3,"['United States', 'United States', 'United States', 'United States', 'United States']","['BF', 'BF', 'BF', 'BF', 'BF']",10.1016/j.clgc.2015.05.007,"['Harvard-MIT Division of Health Sciences and Technology, Harvard Medical School, Boston, MA.', 'Harvard Medical School, Boston, MA.', 'Harvard Medical School, Boston, MA.', 'Harvard T. H. Chan School of Public Health, Boston, MA.', ""Department of Radiation Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Boston, MA."", ""Department of Radiation Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Boston, MA."", ""Department of Medical Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Harvard Medical School, Boston, MA."", ""Department of Medical Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Harvard Medical School, Boston, MA."", ""Department of Urology, Brigham and Women's Hospital, Boston, MA."", ""Department of Radiation Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Boston, MA. Electronic address: pnguyen@LROC.harvard.edu.""]",FALSE,"['Adult', 'Age Factors', 'Age of Onset', 'Aged', 'Aged, 80 and over', 'Humans', 'Male', 'Middle Aged', 'Neoplasm Grading', 'Prostatic Neoplasms', 'SEER Program', 'United States']",26119229,"[1] ""harvard medical school, boston, ma""                                                               
[2] ""harvard t. h. chan school of public health, boston, ma""                                           
[3] ""dana-farber cancer institute and brigham and women's hospital, boston, ma""                        
[4] ""dana-farber cancer institute and brigham and women's hospital, harvard medical school, boston, ma""
[5] ""brigham and women's hospital, boston, ma""                                                         
"
4,['Canada'],['BF'],10.1111/1471-0528.13494,"['Faculty of Medicine, University of British Columbia, Vancouver, BC, Canada.']",FALSE,"['Antihypertensive Agents', 'Female', 'Humans', 'Hypertension, Pregnancy-Induced', 'Labetalol', 'Nifedipine', ""Practice Patterns, Physicians'"", 'Pregnancy', 'Pregnancy Complications, Cardiovascular']",26119227,"[1] ""faculty of medicine, university of british columbia, vancouver, bc, canada""
"
5,"['Belgium', 'Canada', 'United States', 'France', 'United States', 'Austria', 'Australia', 'United States']","['BF', 'BF', 'BF', 'BF', 'BF', 'BF', 'BF', 'BF']",10.1111/apt.13291,"['University Hospital, Gasthuisberg, Leuven, Belgium.', 'Robarts Research Institute, University of Western Ontario, London, ON, Canada.', 'Janssen Research & Development, LLC, Spring House, PA, USA.', 'Janssen Research & Development, LLC, Spring House, PA, USA.', 'Janssen Research & Development, LLC, Spring House, PA, USA.', 'Janssen Research & Development, LLC, Spring House, PA, USA.', 'Janssen Research & Development, LLC, Spring House, PA, USA.', 'Janssen Research & Development, LLC, Spring House, PA, USA.', 'Janssen Research & Development, LLC, Spring House, PA, USA.', 'H\xf4pital Claude Huriez, Lille Cedex, France.', 'Icahn School of Medicine at Mount Sinai, New York, NY, USA.', 'Universit\xe4tsklinik f\xfcr Innere Medizin IV, Vienna, Austria.', 'Alfred Hospital, Melbourne, VIC, Australia.', 'University of California San Diego, La Jolla, CA, USA.']",TRUE,"['Administration, Intravenous', 'Adult', 'Antibodies, Monoclonal', 'Colitis, Ulcerative', 'Dose-Response Relationship, Drug', 'Double-Blind Method', 'Female', 'Humans', 'Injections, Subcutaneous', 'Male', 'Middle Aged', 'Severity of Illness Index', 'Treatment Outcome', 'Tumor Necrosis Factor-alpha']",26119226,"[1] ""university hospital, gasthuisberg, leuven, belgium""                           
[2] ""robarts research institute, university of western ontario, london, on, canada""
[3] ""janssen research & development, llc, spring house, pa, usa""                   
[4] ""hôpital claude huriez, lille cedex, france""                                   
[5] ""icahn school of medicine at mount sinai, new york, ny, usa""                   
[6] ""universitätsklinik für innere medizin iv, vienna, austria""                    
[7] ""alfred hospital, melbourne, vic, australia""                                   
[8] ""university of california san diego, la jolla, ca, usa""                        
"
6,"['United States', 'United States']","['BF', 'BF']",10.1016/j.neurobiolaging.2015.05.018,"['Department of Cellular and Structural Biology; University of Texas Health Science Center at San Antonio, San Antonio, TX, USA.', 'Department of Cellular and Structural Biology; University of Texas Health Science Center at San Antonio, San Antonio, TX, USA.', 'Department of Cellular and Structural Biology; University of Texas Health Science Center at San Antonio, San Antonio, TX, USA.', 'Department of Cellular and Structural Biology; University of Texas Health Science Center at San Antonio, San Antonio, TX, USA; Research Service, South Texas Veterans Health Care System, San Antonio, TX, USA. Electronic address: ran@uthscsa.edu.']",FALSE,"['Alzheimer Disease', 'Amyloid beta-Protein Precursor', 'Animals', 'Carrier Proteins', 'Cognition Disorders', 'Disease Models, Animal', 'Electron Transport Complex I', 'Electron Transport Complex IV', 'Herbicides', 'Humans', 'Hydrogen Peroxide', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Mice, Transgenic', 'Mitochondria', 'NLR Family, Pyrin Domain-Containing 3 Protein', 'Nerve Tissue Proteins', 'Oxidative Stress', 'Paraquat', 'Presenilin-1', 'Reactive Oxygen Species']",26119225,"[1] ""department of cellular and structural biology""                                  
[2] ""university of texas health science center at san antonio, san antonio, tx, usa"" 
[3] ""research service, south texas veterans health care system, san antonio, tx, usa""
"
7,"['United States', 'United States', 'United States', 'United States', 'United States']","['BF', 'BF', 'BF', 'BF', 'BF']",10.1016/j.neurobiolaging.2015.05.021,"[""Vanderbilt Memory and Alzheimer's Center, Vanderbilt University School of Medicine, Nashville, TN, USA. Electronic address: Timothy.J.Hohman@Vanderbilt.edu."", ""Vanderbilt Memory and Alzheimer's Center, Vanderbilt University School of Medicine, Nashville, TN, USA; Department of Biostatistics, Vanderbilt University School of Medicine, Nashville, TN, USA."", ""Vanderbilt Memory and Alzheimer's Center, Vanderbilt University School of Medicine, Nashville, TN, USA; Department of Biostatistics, Vanderbilt University School of Medicine, Nashville, TN, USA."", ""Vanderbilt Memory and Alzheimer's Center, Vanderbilt University School of Medicine, Nashville, TN, USA."", 'Department of Medicine, University of Washington, Seattle, WA, USA.', ""Vanderbilt Memory and Alzheimer's Center, Vanderbilt University School of Medicine, Nashville, TN, USA."", 'Department of Pathology, Microbiology, and Immunology, Vanderbilt University School of Medicine, Nashville, TN, USA.', 'Section of Cardiovascular Medicine, Department of Medicine, Boston University School of Medicine and Boston Medical Center, Boston, MA, USA.', ""Vanderbilt Memory and Alzheimer's Center, Vanderbilt University School of Medicine, Nashville, TN, USA.""]",TRUE,"['Aged', 'Aged, 80 and over', 'Aging', 'Alzheimer Disease', 'Amyloid beta-Peptides', 'Biomarkers', 'Brain', 'Cognition Disorders', 'Female', 'Humans', 'Longitudinal Studies', 'Male', 'Memory Disorders', 'Middle Aged', 'Neuroimaging', 'Neuropsychological Tests', 'Peptide Fragments', 'Psychiatric Status Rating Scales', 'Regression Analysis', 'Stroke', 'tau Proteins']",26119224,"[1] ""vanderbilt memory and alzheimer's center, vanderbilt university school of medicine, nashville, tn, usa""             
[2] ""vanderbilt university school of medicine, nashville, tn, usa""                                                       
[3] ""university of washington, seattle, wa, usa""                                                                         
[4] ""microbiology, and immunology, vanderbilt university school of medicine, nashville, tn, usa""                         
[5] ""section of cardiovascular medicine, boston university school of medicine and boston medical center, boston, ma, usa""
"
8,"['Canada', 'Canada']","['BF', 'BF']",10.1016/j.neurobiolaging.2015.05.017,"['Department of Physiology and Pharmacology, The University of Western Ontario, London, Canada.', 'Department of Physiology and Pharmacology, The University of Western Ontario, London, Canada.', 'Department of Physiology and Pharmacology, The University of Western Ontario, London, Canada; Graduate Program in Neuroscience, The University of Western Ontario, London, Canada. Electronic address: sleung@uwo.ca.']",FALSE,"['Analysis of Variance', 'Animals', 'Antiparkinson Agents', 'Biophysics', 'Cholinergic Antagonists', 'Dose-Response Relationship, Drug', 'Electric Stimulation', 'Electroencephalography', 'Gamma Rhythm', 'Hippocampus', 'Long-Term Potentiation', 'Male', 'Memantine', 'Rats', 'Rats, Long-Evans', 'Reflex, Startle', 'Scopolamine', 'Sensory Gating', 'Wakefulness']",26119223,"[1] ""the university of western ontario, london, canada""                                  
[2] ""graduate program in neuroscience, the university of western ontario, london, canada""
"
9,"['Netherlands', 'Netherlands', 'Netherlands']","['BF', 'BF', 'BF']",10.1007/s00296-015-3311-4,"['Department of Orthopaedics J11, Leiden University Medical Center, P.O. Box 9600, 2300 RC, Leiden, The Netherlands. c.tilbury@lumc.nl.', 'Department of Orthopaedics J11, Leiden University Medical Center, P.O. Box 9600, 2300 RC, Leiden, The Netherlands. C.S.Leichtenberg@lumc.nl.', 'Department of Orthopaedics, Alrijne Hospital, Leiderdorp, The Netherlands.', 'Department of Orthopaedics J11, Leiden University Medical Center, P.O. Box 9600, 2300 RC, Leiden, The Netherlands.', 'Department of Orthopaedics, Alrijne Hospital, Leiderdorp, The Netherlands.', 'Department of Radiology, Leiden University Medical Center, Leiden, The Netherlands.', 'Department of Orthopaedics J11, Leiden University Medical Center, P.O. Box 9600, 2300 RC, Leiden, The Netherlands.', 'Department of Orthopaedics J11, Leiden University Medical Center, P.O. Box 9600, 2300 RC, Leiden, The Netherlands.']",TRUE,"['Adolescent', 'Adult', 'Aged', 'Arthroplasty, Replacement, Hip', 'Arthroplasty, Replacement, Knee', 'Employment', 'Female', 'Health Surveys', 'Humans', 'Male', 'Middle Aged', 'Prospective Studies', 'Return to Work', 'Young Adult']",26119221,"[1] ""leiden university medical center, po box 9600, 2300 rc, leiden, the netherlands""
[2] ""alrijne hospital, leiderdorp, the netherlands""                                  
[3] ""leiden university medical center, leiden, the netherlands""                      
"
